step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
641,0.16371,0.92085,,
642,0.13554,0.92737,,
643,0.15924,0.91365,,
644,0.12965,0.94596,,
645,0.17041,0.90754,,
646,0.15034,0.92096,,
647,0.13554,0.9322,,
648,0.14487,0.93268,,
649,0.14263,0.93686,,
650,0.13771,0.92636,,
651,0.1706,0.90629,,
652,0.12734,0.95327,,
653,0.13759,0.92946,,
654,0.13039,0.94245,,
655,0.17902,0.92117,,
656,0.1475,0.92053,,
657,0.12369,0.9305,,
658,0.11513,0.94743,,
659,0.10911,0.95514,,
660,0.15717,0.92709,,
661,0.1312,0.94231,,
662,0.11401,0.94914,,
663,0.17836,0.90284,,
664,0.13014,0.95488,,
665,0.17337,0.91964,,
666,0.11433,0.94818,,
667,0.16974,0.91763,,
668,0.14567,0.92535,,
669,0.16232,0.91946,,
670,0.1767,0.91006,,
671,0.14288,0.93891,,
672,0.15907,0.91463,,
673,0.15828,0.9333,,
674,0.14162,0.90935,,
675,0.13002,0.92752,,
676,0.16023,0.91664,,
677,0.15895,0.92393,,
678,0.16986,0.91676,,
679,0.17263,0.90702,,
680,0.1769,0.91069,,
681,0.16771,0.91573,,
682,0.12078,0.94641,,
683,0.1071,0.94393,,
684,0.14093,0.93162,,
685,0.14537,0.94345,,
686,0.16791,0.91806,,
687,0.12933,0.93711,,
688,0.11415,0.95189,,
689,0.13776,0.93135,,
690,0.13139,0.92273,,
691,0.13831,0.93928,,
692,0.13575,0.92747,,
693,0.16521,0.90246,,
694,0.12439,0.93698,,
695,0.12945,0.93655,,
696,0.09333,0.94774,,
697,0.14085,0.93163,,
698,0.13312,0.94209,,
699,0.12878,0.93131,,
700,0.17166,0.92773,,
701,0.14917,0.91831,0.14876,0.6856
702,0.15725,0.92982,,
703,0.13952,0.93484,,
704,0.13096,0.94132,,
705,0.1523,0.9335,,
706,0.13344,0.92734,,
707,0.16419,0.92044,,
708,0.13952,0.92972,,
709,0.14422,0.92462,,
710,0.12886,0.92746,,
711,0.12295,0.95177,,
712,0.13169,0.94521,,
713,0.16983,0.90951,,
714,0.16319,0.9387,,
715,0.13117,0.93752,,
716,0.15264,0.92225,,
717,0.13151,0.93043,,
718,0.14759,0.92171,,
719,0.12641,0.93269,,
720,0.16113,0.90397,,
721,0.11956,0.94341,,
722,0.11588,0.93882,,
723,0.16636,0.90598,,
724,0.12396,0.94509,,
725,0.14969,0.92335,,
726,0.08883,0.95473,,
